#time, EleR[]
289.935,0.704928
290.04,0.370495
290.145,0.0933535
290.25,-0.0483485
290.358,-0.135782
290.46,-0.154379
290.565,-0.13274
290.67,-0.103326
290.775,-0.0779503
290.88,-0.0801855
290.985,-0.114254
291.09,-0.115419
291.195,-0.111689
291.3,-0.107531
291.405,-0.0998364
291.51,-0.0915708
291.615,-0.101917
291.72,-0.12007
291.825,-0.125207
291.93,-0.127473
292.035,-0.135607
292.14,-0.106226
292.245,-0.0958632
292.35,-0.115263
292.455,-0.0975939
292.56,-0.100694
292.665,-0.115218
292.77,-0.102402
292.875,-0.0819764
292.98,-0.0842141
293.085,-0.0783274
293.19,-0.0941364
293.295,-0.0915374
293.4,-0.0937343
293.506,-0.0860725
293.61,-0.0804259
293.715,-0.0765922
293.82,-0.0708686
293.925,-0.0618466
294.03,-0.0688357
294.135,-0.0670765
294.24,-0.0630597
294.345,-0.0478866
294.45,-0.033207
294.561,-0.035904
294.66,-0.0355279
294.765,-0.049639
294.87,-0.0497504
294.975,-0.0259227
295.083,-0.00527335
295.185,0.0185398
295.29,0.0330537
295.395,0.0316584
295.5,0.0229771
295.608,0.0276712
295.71,0.0329945
295.815,0.0445029
295.92,0.0571489
296.025,0.0794169
296.13,0.0984265
296.235,0.0922455
296.34,0.0781374
296.445,0.0834295
296.55,0.0902333
296.655,0.101707
296.76,0.108713
296.865,0.104397
296.97,0.0822961
297.075,0.0614142
297.18,0.0551151
297.285,0.0587458
297.39,0.0581115
297.495,0.0349511
297.6,-0.00480819
297.705,-0.0264169
297.81,-0.0265718
297.915,-0.0218143
298.02,0.00442226
298.125,0.0075873
298.23,-0.00997692
298.335,-0.0206877
298.44,-0.0402622
298.545,-0.0600673
298.65,-0.074077
298.758,-0.0719984
298.86,-0.0735387
298.965,-0.0670625
299.07,-0.0625654
299.175,-0.0643755
299.28,-0.069802
299.385,-0.0730215
299.491,-0.0789542
299.595,-0.0666913
299.7,-0.0533752
299.805,-0.0586035
299.91,-0.070916
300.015,-0.0800753
300.12,-0.0938572
300.225,-0.0757383
300.332,-0.0615196
300.435,-0.0520919
300.54,-0.0691598
300.645,-0.0834298
300.75,-0.0801261
300.855,-0.0860726
300.96,-0.0849849
301.065,-0.0703375
301.17,-0.0679981
301.275,-0.0636458
301.383,-0.0693316
301.485,-0.0815714
301.59,-0.0900562
301.695,-0.0821974
301.8,-0.0667344
301.907,-0.0685247
302.01,-0.0734696
302.115,-0.0770888
302.22,-0.0843116
302.325,-0.0837689
302.431,-0.0794487
302.535,-0.0721519
302.64,-0.0572281
302.745,-0.0629311
302.85,-0.0757742
302.955,-0.0759127
303.06,-0.0898522
303.165,-0.0795937
303.27,-0.0787923
303.375,-0.0700057
303.48,-0.0506265
303.585,-0.0606143
303.69,-0.0848771
303.795,-0.0787473
303.9,-0.0727431
304.005,-0.0795444
304.11,-0.0707753
304.215,-0.0566203
304.32,-0.0559799
304.425,-0.0606184
304.53,-0.0690042
304.635,-0.0669258
304.74,-0.0708801
304.845,-0.0729636
304.95,-0.0719743
305.055,-0.072591
305.16,-0.0733091
305.265,-0.0682913
305.37,-0.0649241
305.475,-0.0679727
305.58,-0.0597314
305.685,-0.0487505
305.79,-0.066765
305.895,-0.067054
306,-0.0562886
306.105,-0.0531748
306.21,-0.042793
306.315,-0.0484439
306.42,-0.0503231
306.525,-0.041922
306.633,-0.0466196
306.735,-0.0571111
306.84,-0.0635933
306.945,-0.056323
307.05,-0.0451116
307.157,-0.063549
