#time, TarRoll[]
289.935,0.139626
290.04,0.139626
290.145,0.139626
290.25,0.139626
290.358,0.139626
290.46,0.139626
290.565,0.139626
290.67,0.139626
290.775,0.139626
290.88,0.139626
290.985,0.139626
291.09,0.139626
291.195,0.139626
291.3,0.139626
291.405,0.139626
291.51,0.139626
291.615,0.139626
291.72,0.139626
291.825,0.139626
291.93,0.139626
292.035,0.139626
292.14,0.139626
292.245,0.139626
292.35,0.139626
292.455,0.139626
292.56,0.139626
292.665,0.139626
292.77,0.139626
292.875,0.139626
292.98,0.139626
293.085,0.139626
293.19,0.139626
293.295,0.139626
293.4,0.139626
293.506,0.139626
293.61,0.139626
293.715,0.139626
293.82,0.139626
293.925,0.139626
294.03,0.139626
294.135,0.139626
294.24,0.139626
294.345,0.139626
294.45,0.139626
294.561,0.139626
294.66,0.139626
294.765,0.139626
294.87,0.139626
294.975,0.139626
295.083,0.139626
295.185,0.139626
295.29,0.139626
295.395,0.139626
295.5,0.139626
295.608,0.139626
295.71,0.139626
295.815,0.139626
295.92,0.139626
296.025,0.139626
296.13,0.139626
296.235,0.139626
296.34,0.139626
296.445,0.139626
296.55,0.139626
296.655,0.139626
296.76,0.139626
296.865,0.139626
296.97,0.139626
297.075,0.139626
297.18,0.139626
297.285,0.139626
297.39,0.139626
297.495,0.139626
297.6,0.139626
297.705,0.139626
297.81,0.139626
297.915,0.139626
298.02,0.139626
298.125,0.139626
298.23,0.139626
298.335,0.139626
298.44,0.139626
298.545,0.139626
298.65,0.139626
298.758,0.139626
298.86,0.139626
298.965,0.139626
299.07,0.139626
299.175,0.139626
299.28,0.139626
299.385,0.139626
299.491,0.139626
299.595,0.139626
299.7,0.139626
299.805,0.139626
299.91,0.139626
300.015,0.139626
300.12,0.139626
300.225,0.139626
300.332,0.139626
300.435,0.139626
300.54,0.139626
300.645,0.139626
300.75,0.139626
300.855,0.139626
300.96,0.139626
301.065,0.139626
301.17,0.139626
301.275,0.139626
301.383,0.139626
301.485,0.139626
301.59,0.139626
301.695,0.139626
301.8,0.139626
301.907,0.139626
302.01,0.139626
302.115,0.139626
302.22,0.139626
302.325,0.139626
302.431,0.139626
302.535,0.139626
302.64,0.139626
302.745,0.139626
302.85,0.139626
302.955,0.139626
303.06,0.139626
303.165,0.139626
303.27,0.139626
303.375,0.139626
303.48,0.139626
303.585,0.139626
303.69,0.139626
303.795,0.139626
303.9,0.139626
304.005,0.139626
304.11,0.139626
304.215,0.139626
304.32,0.139626
304.425,0.139626
304.53,0.139626
304.635,0.139626
304.74,0.139626
304.845,0.139626
304.95,0.139626
305.055,0.139626
305.16,0.139626
305.265,0.139626
305.37,0.139626
305.475,0.139626
305.58,0.139626
305.685,0.139626
305.79,0.139626
305.895,0.139626
306,0.139626
306.105,0.139626
306.21,0.139626
306.315,0.139626
306.42,0.139626
306.525,0.139626
306.633,0.139626
306.735,0.139626
306.84,0.139626
306.945,0.139626
307.05,0.139626
307.157,0.139626
