#time, EleL[]
258.722,0.746128
258.83,0.746128
258.932,0.530882
259.037,0.2153
259.142,0.0999849
259.247,0.105778
259.352,0.051775
259.457,-0.0601543
259.562,-0.146039
259.667,-0.173937
259.772,-0.152803
259.877,-0.113849
259.982,-0.0974639
260.087,-0.0929315
260.192,-0.122488
260.297,-0.148148
260.405,-0.150959
260.507,-0.145701
260.612,-0.130026
260.717,-0.117021
260.822,-0.115731
260.927,-0.123038
261.032,-0.125221
261.137,-0.130621
261.242,-0.132243
261.347,-0.145277
261.452,-0.14597
261.557,-0.121806
261.662,-0.109938
261.767,-0.123591
261.872,-0.133152
261.98,-0.155914
262.082,-0.16263
262.187,-0.142603
262.292,-0.124028
262.397,-0.132505
262.502,-0.142828
262.607,-0.148261
262.712,-0.136265
262.817,-0.123169
262.922,-0.134298
263.028,-0.14508
263.132,-0.135635
263.237,-0.127386
263.342,-0.116436
263.447,-0.119265
263.552,-0.127154
263.657,-0.128554
263.762,-0.129895
263.867,-0.127284
263.972,-0.125822
264.077,-0.124129
264.182,-0.12745
264.287,-0.127943
264.392,-0.129066
264.497,-0.127212
264.604,-0.128826
264.707,-0.113174
264.812,-0.0990475
264.917,-0.100745
265.022,-0.107122
265.127,-0.104493
265.232,-0.108476
265.337,-0.104986
265.443,-0.106814
265.547,-0.114243
265.652,-0.121883
265.757,-0.113466
265.862,-0.0942535
265.967,-0.0985396
266.072,-0.100359
266.177,-0.0719025
266.282,-0.0757896
266.387,-0.109264
266.492,-0.109054
